공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
509,AE543,2221,4143010700,376121535B,MNG001,100064,,114.79,2.01,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197647.481,531594.7125
510,AE543,20,4143010900,376121517A,MNG001,41,,57.27000046,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198312.9276,532608.6577
511,AE543,103,4143010700,376121535D,MNG001,234,,99.13999939,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197730.6229,531213.7032
512,AE543,2228,4143010700,376121526C,MNG001,100062,,105.83,2.91,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197909.3491,531776.1919
513,AE543,21,4143010900,376121517C,MNG001,41,,15.98999977,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198359.9721,532571.4286
514,AE543,10,4143010800,377090692B,MNG001,28,,193.0599976,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200843.9588,533775.3974
515,AE543,9,4143010800,377090693A,MNG001,28,,66.01999664,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200977.2449,533799.8991
516,AE543,2,4143010800,377090693A,MNG001,28,,102.449997,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200896.2905,533798.2665
517,AE543,3,4143010800,377090693A,MNG001,28,,9.47000027,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200961.4055,533808.7927
518,AE543,4,4143010800,377090693A,MNG001,28,,58.59999847,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,201000.7146,533815.1854
519,AE543,5,4143010800,377090693A,MNG001,28,,14.63000011,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,201042.3409,533823.0642
520,AE543,6,4143010800,377090693A,MNG001,28,,47.93000031,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,201080.25,533828.4689
